Sample:float;Data:float
"0.0";"21886.0"
"187.5";"22113.7630754008"
"375.0";"22566.643051263713"
"562.5";"23682.313060307893"
"750.0";"26812.54536620361"
"937.5";"46995.655671103705"
"1125.0";"9299.989079584026"
"1312.5";"17631.27656466531"
"1500.0";"20648.65143143865"
"1687.5";"22475.849197855998"
"1875.0";"23570.021018542266"
"2062.5";"24240.059128428136"
"2250.0";"24341.945655909716"
"2437.5";"24103.282274244848"
"2625.0";"23475.632424001753"
"2812.5";"22770.991345145256"
"3000.0";"21892.914020208475"
"3187.5";"21466.301649937053"
"3375.0";"21073.054036701764"
"3562.5";"20857.90125234726"
"3750.0";"21043.7163632038"
"3937.5";"21244.291243026608"
"4125.0";"21387.080524309054"
"4312.5";"21356.850774544164"
"4500.0";"21154.747118381016"
"4687.5";"20775.691343358085"
"4875.0";"20259.470952387746"
"5062.5";"19718.26131157209"
"5250.0";"19244.779505399263"
"5437.5";"18943.007360233834"
"5625.0";"18725.385571732902"
"5812.5";"18736.37146193256"
"6000.0";"18765.930106252625"
"6187.5";"18847.384730070647"
"6375.0";"18836.324029274274"
"6562.5";"18737.111058741684"
"6750.0";"18510.836700097516"
"6937.5";"18214.058229827497"
"7125.0";"17903.983921432773"
"7312.5";"17629.729509989997"
"7500.0";"17458.918064464306"
"7687.5";"17442.64887027495"
"7875.0";"17535.494564985125"
"8062.5";"17690.45272160772"
"8250.0";"17886.544083701006"
"8437.5";"18037.24738127303"
"8625.0";"18159.67620333954"
"8812.5";"18199.96663557388"
"9000.0";"18151.550929895457"
"9187.5";"18113.211223478724"
"9375.0";"18073.740450802656"
"9562.5";"18115.56501470523"
"9750.0";"18237.466628612427"
"9937.5";"18484.4332680781"
"10125.0";"18771.378376362663"
"10312.5";"19100.117974092496"
"10500.0";"19412.329280607177"
"10687.5";"19649.996569200037"
"10875.0";"19822.73507527892"
"11062.5";"19890.539333443558"
"11250.0";"19975.685959709856"
"11437.5";"20007.014177840436"
"11625.0";"20112.75094673142"
"11812.5";"20273.727472183957"
"12000.0";"20515.04228608852"
"12187.5";"20825.17901088715"
"12375.0";"21090.82503690154"
"12562.5";"21343.488998547127"
"12750.0";"21534.837382327205"
"12937.5";"21641.264512228074"
"13125.0";"21681.02919390556"
"13312.5";"21657.19279668959"
"13500.0";"21648.19762884173"
"13687.5";"21674.26311332028"
"13875.0";"21744.900385606456"
"14062.5";"21890.229190835977"
"14250.0";"22031.1308681549"
"14437.5";"22190.64010276844"
"14625.0";"22301.18363806707"
"14812.5";"22344.226895855398"
"15000.0";"22310.761717211528"
"15187.5";"22229.78637352714"
"15375.0";"22073.426686276507"
"15562.5";"21941.52528459937"
"15750.0";"21857.15036362552"
"15937.5";"21827.393712583656"
"16125.0";"21839.660412758247"
"16312.5";"21866.502030686883"
"16500.0";"21900.794453629896"
"16687.5";"21904.50940163112"
"16875.0";"21840.674727262704"
"17062.5";"21706.747843492063"
"17250.0";"21521.047943549158"
"17437.5";"21319.343777978735"
"17625.0";"21149.972106936915"
"17812.5";"21023.674992157703"
"18000.0";"20936.57085692978"
"18187.5";"20908.871821794008"
"18375.0";"20957.44255763838"
"18562.5";"20934.989730126978"
"18750.0";"20907.843409019213"
"18937.5";"20830.472526569527"
"19125.0";"20715.09565848253"
"19312.5";"20557.011865189033"
"19500.0";"20391.33546435847"
"19687.5";"20254.580406437915"
"19875.0";"20166.006730775818"
"20062.5";"20143.68379947152"
"20250.0";"20159.637896524095"
"20437.5";"20218.654479167515"
"20625.0";"20270.788382199746"
"20812.5";"20299.013760642494"
"21000.0";"20288.15048596049"
"21187.5";"20218.119791326237"
"21375.0";"20126.240661356194"
"21562.5";"20005.434880115256"
"21750.0";"19932.94409487183"
"21937.5";"19894.04832057935"
"22125.0";"19916.348345176695"
"22312.5";"19979.19481635626"
"22500.0";"20070.446433559006"
"22687.5";"20168.136081918994"
"22875.0";"20222.04647510134"
"23062.5";"20217.484099095058"
"23250.0";"20178.833649470438"
"23437.5";"20101.06036893593"
"23625.0";"20007.125020084986"
"23812.5";"19935.05277343985"
