Sample:float;Data:float
"0.0";"22513.0"
"187.5";"23871.55103483774"
"375.0";"26620.594502350203"
"562.5";"25310.5110914496"
"750.0";"25361.01184180877"
"937.5";"20313.76399201325"
"1125.0";"31028.949231243616"
"1312.5";"22774.24639477523"
"1500.0";"22353.578581444464"
"1687.5";"26825.904143017997"
"1875.0";"20443.722032792924"
"2062.5";"24423.24340587612"
"2250.0";"23402.11569136999"
"2437.5";"25375.633075403126"
"2625.0";"15716.507808450046"
"2812.5";"25382.179704858925"
"3000.0";"23256.408990094304"
"3187.5";"22485.003762466567"
"3375.0";"20560.77537083134"
"3562.5";"21699.79509970381"
"3750.0";"19167.441478624718"
"3937.5";"16920.86013553833"
"4125.0";"19437.79791106344"
"4312.5";"22566.16505000716"
"4500.0";"20418.438760439934"
"4687.5";"21089.8560175635"
"4875.0";"16626.541024146532"
"5062.5";"21445.806888092775"
"5250.0";"19968.15595582433"
"5437.5";"17148.77748282172"
"5625.0";"20676.627370059552"
"5812.5";"17596.00693477379"
"6000.0";"16145.37863918397"
"6187.5";"18288.555069785623"
"6375.0";"15391.232831165958"
"6562.5";"21722.960481061968"
"6750.0";"19308.82583315429"
"6937.5";"15362.424733097449"
"7125.0";"15628.778893301438"
"7312.5";"19317.99443532599"
"7500.0";"19211.584598053312"
"7687.5";"17530.148215058427"
"7875.0";"20106.689782496087"
"8062.5";"17844.86135070091"
"8250.0";"17875.900234803834"
"8437.5";"17929.913939343656"
"8625.0";"18276.07091876438"
"8812.5";"18427.495941099314"
"9000.0";"18268.149792925742"
"9187.5";"18203.90745550385"
"9375.0";"18471.466561622456"
"9562.5";"18789.93943099907"
"9750.0";"18896.327574994506"
"9937.5";"18896.570980349843"
"10125.0";"19036.468735303533"
"10312.5";"19345.806874689275"
"10500.0";"19588.24271732905"
"10687.5";"19682.381203580513"
"10875.0";"19765.84149139296"
"11062.5";"19981.857000501637"
"11250.0";"20248.51644980205"
"11437.5";"20424.648818012247"
"11625.0";"20521.58383870367"
"11812.5";"20653.787963083756"
"12000.0";"20819.653527376482"
"12187.5";"21062.453409044134"
"12375.0";"21160.453180417397"
"12562.5";"21223.480373977076"
"12750.0";"21259.74928991342"
"12937.5";"21552.62166564825"
"13125.0";"21700.614379877323"
"13312.5";"21687.131428624543"
"13500.0";"21758.506942336655"
"13687.5";"21834.38602185599"
"13875.0";"21983.02951647743"
"14062.5";"21955.058769662915"
"14250.0";"21938.83807480842"
"14437.5";"21951.17704776931"
"14625.0";"22052.923257915456"
"14812.5";"22054.41880111399"
"15000.0";"22023.820241264133"
"15187.5";"22008.023516283378"
"15375.0";"21992.146078831833"
"15562.5";"21999.66818017279"
"15750.0";"22034.791202656284"
"15937.5";"21901.554553321617"
"16125.0";"21805.362452982663"
"16312.5";"21806.67384835638"
"16500.0";"21794.840861715616"
"16687.5";"21725.29128467455"
"16875.0";"21598.02154188745"
"17062.5";"21496.794690718067"
"17250.0";"21483.641788722107"
"17437.5";"21402.788802922452"
"17625.0";"21341.731315120298"
"17812.5";"21200.14685139029"
"18000.0";"21141.981614725286"
"18187.5";"21103.561890488894"
"18375.0";"21047.398534902895"
"18562.5";"20943.886054281927"
"18750.0";"20825.11890144277"
"18937.5";"20777.461469816837"
"19125.0";"20737.74637441869"
"19312.5";"20670.548896509623"
"19500.0";"20582.164542754555"
"19687.5";"20519.79637975123"
"19875.0";"20460.437942392855"
"20062.5";"20428.18944328724"
"20250.0";"20373.980756607867"
"20437.5";"20293.869431146657"
"20625.0";"20261.267607877442"
"20812.5";"20238.453254440432"
"21000.0";"20215.856202722956"
"21187.5";"20158.418263192823"
"21375.0";"20103.48929506089"
"21562.5";"20101.484993089034"
"21750.0";"20101.11535564596"
"21937.5";"20075.594579077344"
"22125.0";"20032.258557250985"
"22312.5";"20002.369218770426"
"22500.0";"20009.962065330208"
"22687.5";"20020.115883762166"
"22875.0";"19997.5582823785"
"23062.5";"19964.919799612013"
"23250.0";"19968.20814322931"
"23437.5";"19986.310014114057"
"23625.0";"19985.19055879742"
"23812.5";"19959.505894231334"
