Sample:float;Data:float
"0.0";"24713.0"
"187.5";"24716.569726432204"
"375.0";"24646.988157188174"
"562.5";"24647.114407108438"
"750.0";"24559.631446825693"
"937.5";"24510.703419239417"
"1125.0";"24381.04328524559"
"1312.5";"24281.793525510904"
"1500.0";"24112.972951298874"
"1687.5";"24035.204919607928"
"1875.0";"23824.775497181072"
"2062.5";"23673.16144324437"
"2250.0";"23465.09703172869"
"2437.5";"23234.286845735598"
"2625.0";"23053.278700217128"
"2812.5";"22797.424676642167"
"3000.0";"22563.50565920495"
"3187.5";"22359.753393413124"
"3375.0";"22009.310628253974"
"3562.5";"21840.18564306406"
"3750.0";"21529.82338769505"
"3937.5";"21261.324986723594"
"4125.0";"21015.551583313136"
"4312.5";"20725.213040058057"
"4500.0";"20449.613895043032"
"4687.5";"20154.43881633299"
"4875.0";"19911.06842340084"
"5062.5";"19622.954899004857"
"5250.0";"19322.41009740707"
"5437.5";"19189.248667486314"
"5625.0";"18913.61785089628"
"5812.5";"18682.89591722902"
"6000.0";"18457.86239584688"
"6187.5";"18201.328401475337"
"6375.0";"18053.392357065084"
"6562.5";"17936.416749897566"
"6750.0";"17783.227492095277"
"6937.5";"17680.090549693417"
"7125.0";"17577.54360564031"
"7312.5";"17480.3704899293"
"7500.0";"17438.686376865422"
"7687.5";"17399.46684163381"
"7875.0";"17419.09726213272"
"8062.5";"17326.49977738121"
"8250.0";"17551.54627248271"
"8437.5";"17552.09620923543"
"8625.0";"17604.04291153871"
"8812.5";"17633.854486092692"
"9000.0";"17826.825031677374"
"9187.5";"17942.300884723452"
"9375.0";"18045.177474207172"
"9562.5";"18234.589333181713"
"9750.0";"18403.8479589989"
"9937.5";"18711.594273176957"
"10125.0";"18788.144603404184"
"10312.5";"18943.541111525145"
"10500.0";"19182.948590404925"
"10687.5";"19375.799924313247"
"10875.0";"19527.536954564843"
"11062.5";"19901.144932903695"
"11250.0";"20095.368984338274"
"11437.5";"20239.725183932343"
"11625.0";"20416.536549733675"
"11812.5";"20515.89683874416"
"12000.0";"20690.92953446026"
"12187.5";"21024.09005346894"
"12375.0";"21149.017554133112"
"12562.5";"21428.999358411784"
"12750.0";"21279.973146125325"
"12937.5";"21687.379531546678"
"13125.0";"21838.309913862024"
"13312.5";"21804.015350010868"
"13500.0";"22450.053084599997"
"13687.5";"22676.20888245569"
"13875.0";"20719.0516881565"
"14062.5";"22661.984105158353"
"14250.0";"19361.436557452103"
"14437.5";"23350.813015163985"
"14625.0";"24943.23892613502"
"14812.5";"22543.988110655886"
"15000.0";"15345.258075776386"
"15187.5";"20497.244353501173"
"15375.0";"24627.394937609453"
"15562.5";"22490.893896271114"
"15750.0";"18583.21514571862"
"15937.5";"26515.943270560238"
"16125.0";"23496.96913724141"
"16312.5";"20424.877121053036"
"16500.0";"21798.912768212274"
"16687.5";"18209.628452427663"
"16875.0";"18930.37677262758"
"17062.5";"18558.42494141607"
"17250.0";"19614.267148041166"
"17437.5";"18533.022693216997"
"17625.0";"20865.28542150872"
"17812.5";"24169.353038953912"
"18000.0";"22420.45132855228"
"18187.5";"23278.56660161693"
"18375.0";"20055.37574986511"
"18562.5";"21776.655141126626"
"18750.0";"21046.02968893003"
"18937.5";"18453.299762564024"
"19125.0";"24200.579570717655"
"19312.5";"19684.491484929033"
"19500.0";"22079.370497214917"
"19687.5";"19342.46895312032"
"19875.0";"19825.648243287873"
"20062.5";"21591.265725407542"
"20250.0";"20551.618145618108"
"20437.5";"21176.866871603805"
"20625.0";"23207.32730413272"
"20812.5";"23622.025078075156"
"21000.0";"22007.96011094183"
"21187.5";"18949.54314224482"
"21375.0";"17525.75641556728"
"21562.5";"17688.278845407036"
"21750.0";"14850.899139336416"
"21937.5";"23263.798845805733"
"22125.0";"22223.99139128629"
"22312.5";"20651.190988487546"
"22500.0";"20037.879850174562"
"22687.5";"20449.92343487027"
"22875.0";"20326.196631107494"
"23062.5";"20534.6673928769"
"23250.0";"20229.12582422541"
"23437.5";"20012.766144013876"
"23625.0";"20123.48887658407"
"23812.5";"20332.58307797925"
