Sample:float;Data:float
"0.0";"21704.0"
"187.5";"25111.05761186466"
"375.0";"23464.402463064554"
"562.5";"25819.993857561563"
"750.0";"25553.283428711136"
"937.5";"22750.27018805872"
"1125.0";"24685.92449251961"
"1312.5";"28282.2134052117"
"1500.0";"24792.43065658914"
"1687.5";"23185.4199108051"
"1875.0";"23093.38500032708"
"2062.5";"23675.900742709015"
"2250.0";"24403.155575129116"
"2437.5";"22412.875412739308"
"2625.0";"20212.363234134824"
"2812.5";"22483.054028900708"
"3000.0";"21892.589053652235"
"3187.5";"21385.452193916513"
"3375.0";"24415.396669616915"
"3562.5";"24088.614477135503"
"3750.0";"20251.13166788823"
"3937.5";"20611.420810861433"
"4125.0";"21274.416903966117"
"4312.5";"21136.6811826032"
"4500.0";"17855.9391331439"
"4687.5";"18998.083356801188"
"4875.0";"20424.297181053927"
"5062.5";"19673.741300186553"
"5250.0";"18550.926498577162"
"5437.5";"19927.04933812556"
"5625.0";"18043.987869624845"
"5812.5";"19374.78056492593"
"6000.0";"17097.39082162294"
"6187.5";"21338.832670586944"
"6375.0";"18308.26016087924"
"6562.5";"19576.307434575025"
"6750.0";"16717.810452307942"
"6937.5";"17151.094641080213"
"7125.0";"20439.483370482492"
"7312.5";"17167.934501086773"
"7500.0";"16444.269672950402"
"7687.5";"18370.674367139985"
"7875.0";"16214.954842486546"
"8062.5";"17269.16870257273"
"8250.0";"16955.7679713352"
"8437.5";"18777.827958207235"
"8625.0";"18522.9234394409"
"8812.5";"19711.19783004655"
"9000.0";"18133.00489517348"
"9187.5";"16013.113215088886"
"9375.0";"16999.33549533384"
"9562.5";"20509.265966687508"
"9750.0";"18886.796760674522"
"9937.5";"18141.80495334972"
"10125.0";"19166.618938834607"
"10312.5";"20109.636300730002"
"10500.0";"18363.491438168025"
"10687.5";"16033.965580322443"
"10875.0";"20502.988199490574"
"11062.5";"18855.910717025887"
"11250.0";"20160.47191609037"
"11437.5";"18983.480368532157"
"11625.0";"22184.78217716392"
"11812.5";"19788.3176828909"
"12000.0";"21297.363217074548"
"12187.5";"20470.171201600995"
"12375.0";"21839.827936462363"
"12562.5";"20822.15913690143"
"12750.0";"22410.80800187481"
"12937.5";"21677.069886685433"
"13125.0";"22207.63027910922"
"13312.5";"21947.303593091277"
"13500.0";"18325.7135130852"
"13687.5";"24508.163637922902"
"13875.0";"24798.840356944114"
"14062.5";"22030.543839808917"
"14250.0";"21978.59766980862"
"14437.5";"20015.98852299451"
"14625.0";"20626.203855203636"
"14812.5";"21358.386837978884"
"15000.0";"22183.79682036013"
"15187.5";"22351.116755669114"
"15375.0";"23628.331962370154"
"15562.5";"22601.552277139348"
"15750.0";"24679.81889151459"
"15937.5";"21435.32442418233"
"16125.0";"24420.678729545474"
"16312.5";"19047.688801492513"
"16500.0";"20150.477205344043"
"16687.5";"20734.208174955682"
"16875.0";"20667.257178026455"
"17062.5";"20853.668813621036"
"17250.0";"21088.0119611444"
"17437.5";"21228.449505327186"
"17625.0";"21156.532955649207"
"17812.5";"20962.897200825584"
"18000.0";"20826.366632052835"
"18187.5";"20795.985713200003"
"18375.0";"20886.764208406978"
"18562.5";"20918.478986039456"
"18750.0";"20866.694102581467"
"18937.5";"20734.79914098338"
"19125.0";"20581.082358535125"
"19312.5";"20484.52524212794"
"19500.0";"20520.925118821797"
"19687.5";"20551.295852376126"
"19875.0";"20530.268447973536"
"20062.5";"20416.3522897944"
"20250.0";"20268.258628021074"
"20437.5";"20179.166916755563"
"20625.0";"20171.68377057653"
"20812.5";"20207.54336443151"
"21000.0";"20198.593134980976"
"21187.5";"20140.38080018943"
"21375.0";"20009.510277290465"
"21562.5";"19919.281223345213"
"21750.0";"19894.80903729359"
"21937.5";"19921.0228961315"
"22125.0";"19956.55481279292"
"22312.5";"19918.75623329549"
"22500.0";"19817.83807170292"
"22687.5";"19734.79340234753"
"22875.0";"19700.60248285601"
"23062.5";"19744.582155485794"
"23250.0";"19792.35260381433"
"23437.5";"19828.912150295717"
"23625.0";"19758.31220193467"
"23812.5";"19684.867905385363"
