Sample:float;Data:float
"0.0";"24169.0"
"187.5";"24882.24443107191"
"375.0";"25835.9139494321"
"562.5";"25522.789083494747"
"750.0";"24353.93793821207"
"937.5";"24098.205045509185"
"1125.0";"25036.972568456527"
"1312.5";"25484.113856006286"
"1500.0";"24519.17683947904"
"1687.5";"23427.433667995796"
"1875.0";"23739.84378230417"
"2062.5";"24643.60002649511"
"2250.0";"24382.13753126573"
"2437.5";"23027.24782534619"
"2625.0";"22371.809151893496"
"2812.5";"23116.544427284673"
"3000.0";"23647.187385851666"
"3187.5";"22724.290755666752"
"3375.0";"21333.64043120105"
"3562.5";"21298.567065726384"
"3750.0";"22242.12443416703"
"3937.5";"22179.812303138875"
"4125.0";"20711.037775084144"
"4312.5";"19690.361762010052"
"4500.0";"20401.17208364445"
"4687.5";"21172.39224101431"
"4875.0";"20315.499402447094"
"5062.5";"18690.53097037675"
"5250.0";"18542.99916520396"
"5437.5";"19710.666839047935"
"5625.0";"19869.09519146772"
"5812.5";"18372.570462737487"
"6000.0";"17196.514472054154"
"6187.5";"18049.116312468173"
"6375.0";"19177.83274657009"
"6562.5";"18517.903202659025"
"6750.0";"16758.353961709006"
"6937.5";"16612.81086854311"
"7125.0";"18258.402607185497"
"7312.5";"18819.41732936088"
"7500.0";"17241.32735952801"
"7687.5";"15887.593684063095"
"7875.0";"17195.104162402706"
"8062.5";"18940.636410818963"
"8250.0";"18340.842064588047"
"8437.5";"16274.91821334382"
"8625.0";"16297.158855589374"
"8812.5";"18605.459655294435"
"9000.0";"19548.19847394249"
"9187.5";"17780.106328048158"
"9375.0";"16042.211251123214"
"9562.5";"17727.82164543899"
"9750.0";"20290.72427183367"
"9937.5";"19901.732803112103"
"10125.0";"17001.455903604165"
"10312.5";"16571.497284672183"
"10500.0";"20037.498129762964"
"10687.5";"21828.033931169957"
"10875.0";"19250.356129160606"
"11062.5";"15971.8089092758"
"11250.0";"18484.6979459958"
"11437.5";"22613.30458436128"
"11625.0";"22068.937744602335"
"11812.5";"17140.85226339276"
"12000.0";"15742.540868614571"
"12187.5";"21266.363263047613"
"12375.0";"24449.342205734494"
"12562.5";"20597.793880137968"
"12750.0";"12868.93112669298"
"12937.5";"13881.539136216885"
"13125.0";"30934.038397452285"
"13312.5";"30479.3509677626"
"13500.0";"12760.785183586537"
"13687.5";"31383.621845874433"
"13875.0";"147192.02666469046"
"14062.5";"222071.16576819305"
"14250.0";"11769.823932033569"
"14437.5";"44955.96898925849"
"14625.0";"43600.68633007884"
"14812.5";"21532.27272566982"
"15000.0";"66989.91281029557"
"15187.5";"33808.934470423"
"15375.0";"43451.05121969797"
"15562.5";"37348.288268160286"
"15750.0";"23254.809588594406"
"15937.5";"20755.601959698655"
"16125.0";"30004.71691116835"
"16312.5";"32599.430920644634"
"16500.0";"26688.262968275"
"16687.5";"20320.75133670436"
"16875.0";"23819.3968109089"
"17062.5";"28552.62330172322"
"17250.0";"28219.425473790423"
"17437.5";"22730.17315549103"
"17625.0";"20639.819537657335"
"17812.5";"25019.718006177052"
"18000.0";"27793.342080657232"
"18187.5";"25043.49058214568"
"18375.0";"20590.691248466694"
"18562.5";"21692.206337086558"
"18750.0";"25813.106406346327"
"18937.5";"26096.729307086163"
"19125.0";"22216.380122821898"
"19312.5";"20118.271288671593"
"19500.0";"23179.777660624648"
"19687.5";"25582.350199389322"
"19875.0";"23917.770463754085"
"20062.5";"20565.940858790593"
"20250.0";"20805.844284609666"
"20437.5";"23838.30652555911"
"20625.0";"24747.20380138149"
"20812.5";"22241.581536508576"
"21000.0";"19952.05620558358"
"21187.5";"21586.151101894713"
"21375.0";"24307.36371121403"
"21562.5";"23864.984163441026"
"21750.0";"20736.54605097998"
"21937.5";"19863.785457274043"
"22125.0";"22803.08994957297"
"22312.5";"24577.89072501698"
"22500.0";"22463.44775736316"
"22687.5";"19513.611144246173"
"22875.0";"20864.585184400854"
"23062.5";"24075.27574912846"
"23250.0";"23983.708605543787"
"23437.5";"20685.19616141657"
"23625.0";"19456.620312525083"
"23812.5";"22549.99679310757"
